timeSinceStart (ms), eventId, msg
272654,4,InputImage/78197_38.jpg i-a32bce7a
272655,4,InputImage/78197_38(copy).jpg i-212bcef8
273155,3,InputImage/88213_apple(copy).jpg 2750 i-212bcef8
273655,3,InputImage/88213_apple.jpg 2750 i-a32bce7a
276657,4,InputImage/88213_apple.jpg i-a32bce7a
276657,4,InputImage/88213_apple(copy).jpg i-212bcef8
277157,3,InputImage/102548_sunsetspace(copy).jpg 3250 i-212bcef8
277658,3,InputImage/102548_sunsetspace.jpg 3250 i-a32bce7a
279659,4,InputImage/102548_sunsetspace(copy).jpg i-212bcef8
280160,3,InputImage/103483_heade(copy).jpg 3250 i-212bcef8
280660,4,InputImage/102548_sunsetspace.jpg i-a32bce7a
280661,3,InputImage/103483_header3.jpg 3250 i-a32bce7a
282660,4,InputImage/103483_header3.jpg i-a32bce7a
282661,4,InputImage/103483_heade(copy).jpg i-212bcef8
283161,3,InputImage/121651_eye.jpg 3750 i-212bcef8
283661,3,InputImage/120825_press6.jpg 3750 i-a32bce7a
285663,4,InputImage/120825_press6.jpg i-a32bce7a
285663,4,InputImage/121651_eye.jpg i-212bcef8
286163,3,InputImage/120825_press(copy).jpg 3750 i-212bcef8
286663,3,InputImage/121651_eye(copy).jpg 3750 i-a32bce7a
288664,4,InputImage/121651_eye(copy).jpg i-a32bce7a
288665,4,InputImage/120825_press(copy).jpg i-212bcef8
289165,3,InputImage/127493_37.jpg 4000 i-212bcef8
289666,3,InputImage/129696_dial.jpg 4000 i-a32bce7a
291666,4,InputImage/127493_37.jpg i-212bcef8
292167,3,InputImage/127493_37(copy).jpg 4000 i-212bcef8
292667,4,InputImage/129696_dial.jpg i-a32bce7a
292667,3,InputImage/129696_dial(copy).jpg 4000 i-a32bce7a
294668,4,InputImage/127493_37(copy).jpg i-212bcef8
295169,3,InputImage/140399_ballss.jpg 4250 i-212bcef8
295669,4,InputImage/129696_dial(copy).jpg i-a32bce7a
295669,3,InputImage/140399_balls(copy).jpg 4250 i-a32bce7a
297670,4,InputImage/140399_ballss.jpg i-212bcef8
298170,3,InputImage/166717_abstract.jpg 5250 i-212bcef8
299671,4,InputImage/140399_balls(copy).jpg i-a32bce7a
